area_name,latitude,longitude,area_catagory,statute,penalty,address
(주)남서울가스,37.4977796,127.0755652,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 21-1
(주)진양가스,37.4905309,127.0359122,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 552-5
(주)상현상사,37.5136307,127.0313462,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 207
(주)삼진에너지,37.4992996,127.07809,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 27-15
(주)수서에너지,37.4827957,127.1050145,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동204-1
개인택시조합복지강남제2충전소,37.4763295,127.1054648,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 373-1
(주)도선제이엔디아이엔씨,37.4790041,127.0656864,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 565-3
강남대로 동측,37.4872446,127.0327813,거리,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 강남대로
강남대로,37.4872446,127.0327813,거리,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 강남대로
개포개나리공원,37.4906129,127.074326,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 612
개포은행나무공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 포이동 220
개포목련공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 포이동 176
일원은행나무공원,37.491986,127.0769687,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 615-2
일원목련공원,37.4914149,127.0855621,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 658
일원까치공원,37.4920442,127.0881735,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 712-4
궁마을공원,37.4848147,127.0994013,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 465-15
예지공원,37.4919364,127.0731607,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 12-7
한마음공원,37.4959964,127.0757885,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 12-3
대모산도시자연공원,37.4810133,127.0801089,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 산52-1 일대
인능산도시자연공원,37.4692712,127.1073203,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 산48-1 일대
일원장미공원,37.4806646,127.0807035,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 732-4
일원개나리공원,37.4829771,127.0764826,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 730-3
일원느티나무공원,37.4830306,127.0774464,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 730-2
일원소나무공원,37.4840446,127.081768,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 718-1
일원상록수공원,37.4820854,127.0821945,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 734-1
일원비둘기공원,37.4832708,127.0859836,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 735-1
일원진달래공원,37.484737,127.0847209,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 716-1
일원새싹공원,37.4847553,127.0890751,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 746-1
수서까치공원,37.4871237,127.0979375,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 736-1
수서은행나무공원,37.4913306,127.0998059,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 707-1
수서목련공원,37.4905488,127.1037562,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 712-1
수서개나리공원,37.4875022,127.1054073,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 723-1
아래반고개공원,37.4638577,127.1070942,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 129-13
윗반 고개공원,37.4656608,127.1091449,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 99-6
윗반 고개공원,37.4657271,127.1094493,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 100-15
윗반 고개공원,37.4657995,127.109367,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-9
달터공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 156외 23필지
도곡공원,37.4898434,127.0438136,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 산31-1외93필지
개포공원,37.4830336,127.063861,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 139
청담공원,37.5231998,127.0486655,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 청담동 66외 4필지
학동공원,37.5155317,127.0251861,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 26
역삼공원,37.4999072,127.0373932,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 635외 1필지
싸리고개공원,37.4898434,127.0438136,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 550외 5필지
봉은사공원,37.5139848,127.0565207,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 75외 4필지
도산공원,37.5239121,127.0355914,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 신사동 649-9
늘벗공원,37.4896066,127.0571491,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 501
한티공원,37.4994914,127.0610527,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 212-1 외 13필지
청수공원,37.5231998,127.0486655,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 청담동 134-13외 12필지
대청공원,37.4927795,127.0828179,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 621
포이공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 1239-21외 4필지
대진공원,37.4960323,127.0787736,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 13-1
한솔공원,37.4809196,127.0781655,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 732
윗반 고개공원,37.4658871,127.1092767,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-24
윗반 고개공원,37.4657271,127.1094493,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 100-15
윗반 고개공원,37.4658084,127.1092347,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-8
윗반 고개공원,37.4656964,127.1091987,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-17
윗반 고개공원,37.4659331,127.1092795,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-22
학여울공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 183-1외 1필지
배밭공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 181외 1필지
늘푸른공원,37.4898686,127.0774358,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 690
개포서공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 180외 2필지
대치공원,37.4951065,127.0698635,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 512
윗반 고개공원,37.46592,127.1094583,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 104-11
윗반 고개공원,37.4658308,127.1094537,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 101
윗반 고개공원,37.4657088,127.1092867,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-28
윗반 고개공원,37.4656455,127.1092603,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 102-29
독골공원,37.4845355,127.0468249,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 461
탄천공원,37.4874195,127.1062745,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 722
개포동공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 182-1 외2필지
청룡공원,37.4855782,127.0543594,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 649-1
은곡마을공원,37.4680242,127.1004438,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 369-3
쟁골공원,37.459131,127.1005944,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 233-2
못골공원,37.4735563,127.1001604,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 447-23
못골공원,37.4735051,127.1004143,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 421-1
윗방죽마을공원,37.4702593,127.1046598,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 율현동 308-29
아랫방죽마을공원,37.4732596,127.1082045,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 율현동 194-1
충현1 공원,37.5046842,127.036522,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 666-2
충현2 공원,37.5053514,127.0382393,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 663-19
충현2 공원,37.5054137,127.0384693,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 663-20
삼성동차고지공원,37.5155653,127.0662647,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성1동 171-4
청담가로공원,37.5139848,127.0565207,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동80외 7필지
쌍용가로공원,37.4994914,127.0610527,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 5-3외 2필지
대치동 자투리녹지,37.4994914,127.0610527,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동1017-3외 1필지
수서동 궁마을 쉼터,37.4842819,127.0965436,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 501-1
삼성동 자투리녹지,37.5129778,127.0487958,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 46-15
어린이공원1(어린이공원),37.4620948,127.101929,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 522-1
갈매기공원,37.5309272,127.0345428,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 압구정동 480
신사공원,37.5267081,127.0214576,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 압구정동 422
삼성은행나무공원,37.5139848,127.0565207,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 14외 1필지
길섶공원,37.4975499,127.0488965,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 757-1
영동공원,37.4980245,127.0486372,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 755-7
보은공원,37.4979014,127.0482305,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 754-4
매봉공원,37.4920871,127.0502685,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 527-7
언주공원,37.4999072,127.0373932,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 754-7외 1필지
도성공원,37.4999072,127.0373932,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 713-15외 1필지
송운공원,37.4992783,127.0490352,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 755-9
반달공원,37.5161862,127.0428581,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 7-4
배꽃공원,37.5162471,127.0445903,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 11-3
큰골공원,37.4938114,127.054726,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 888-3
새뜰공원,37.4965622,127.0510057,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 765-30
샘터공원,37.5175682,127.046733,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 16-4
학봉공원,37.5173474,127.044048,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 삼성동 50-3
다솜공원,37.4969822,127.048103,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 역삼동 763-18
어린이공원2(어린이공원),37.4685794,127.1222702,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 526-2
출발마당(근린공원),37.4824267,127.0494636,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 1267-1
경복아파트 소공원,37.5093526,127.0388621,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 276-2
강남 보금자리 지구 근린공원1호(근린공원),37.4692712,127.1073203,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 세곡동 603번지
강남 보금자리 지구 근린공원2호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 625번지
강남 보금자리 지구 근린공원3호(근린공원),37.474172,127.0950243,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 615번지
